source,target
日笠 陽子,Hikasa Yoko
19歳,19 years old
6月12日,June 12
"忍者の里に生まれたくノ一で、表の世界に下りて以来、あらゆる武芸の達人に挑んできた。
ある時、将棋に触れ、その奥深さに魅了される。以来""将棋で最強を目指す""という異色のくノ一として各地を渡り歩いている。
なお、将棋にはまりすぎて忍ぶ技術が低下している。
将棋カフェ「カフェ 棋桜」には時折姿を現し、腕利きの客たちに腕試しで挑んでいる。","A kunoichi born in a ninja village who has challenged masters of every martial art since entering the outside world.
After discovering shogi, she was captivated by its depth and began traveling as a most unusual kunoichi: one seeking to become the strongest through shogi.
Unfortunately, her stealth has declined because she is too absorbed in the game.
She sometimes appears at Shogi Cafe Kio to test herself against skilled customers."
かみたに しろう,Kamitani Shiro
岡本 信彦,Okamoto Nobuhiko
11月16日,November 16
"過去に金城 豪に助けられた恩があるらしく、恩返しとして「カフェ 棋桜」の用心棒をしてくれる青年。
基本的に店の隅で腕組みをして目を閉じているか、静かに詰将棋を解いている。","A young man who was once helped by Go Kinjo and now serves as Cafe Kio's bouncer to repay the favor.
He usually stands in a corner with his arms crossed and eyes closed, or quietly solves tsume shogi."
きんじょう ごう,Kinjo Go
服部 英史,Hattori Eiji
45歳,45 years old
1月11日,January 11
"実業家であり、【カフェ 棋桜】のスポンサー。
金を出す理由は単純で、「面白そうだから」。
難しい理屈や計算よりも、その場の空気、盛り上がり、将来""デカくなりそうな匂い""を重視する。","A businessman and sponsor of Cafe Kio.
His reason for funding it is simple: it looked interesting.
Rather than complicated logic or calculations, he trusts the atmosphere, excitement, and the scent of something that could become big."
たかせ こういち,Takase Koichi
玉垣 アキト,Tamagaki Akito
32歳,32 years old
4月15日,April 15
"大企業勤めのエリートサラリーマン。日中は責任ある業務に追われているが、仕事終わりに「カフェ 棋桜」に立ち寄り、糖分補給と将棋でリセットするのが日課。
一見すると難しい顔で盤面を睨んでいるが、手元には「季節限定・スイーツ」が置かれていることが多々ある。","An elite office worker at a major company. By day he carries heavy responsibilities, but after work he resets at Cafe Kio with sugar and shogi.
He may look stern while staring at the board, but a seasonal dessert is often sitting close at hand."
豪華な扇子,Luxurious Fan
サファイアリング,Sapphire Ring
ホールケーキ,Whole Cake
桜の盆栽,Cherry Bonsai
桐箱入り煎餅,Senbei in Paulownia Box
和菓子セット,Wagashi Set
魔導書,Grimoire
一升瓶,Large Sake Bottle
暁光の宝珠,Dawn Orb
慕情の宝珠,Affection Orb
花信の宝珠,Flower-Tidings Orb
月華の宝珠,Moonlight Orb
碧水の宝珠,Azure Water Orb
叡智の宝珠,Wisdom Orb
烈火の宝珠,Blazing Fire Orb
翠葉の宝珠,Verdant Leaf Orb
出会い,First Meeting
対局開始・自分,Match Start: Self
対局開始・相手,Match Start: Opponent
対局開始・ミラー,Match Start: Mirror
終局勝利1,Win 1
終局勝利2,Win 2
終局勝利3,Win 3
終局勝利4,Win 4
ログイン・普通,Login: Normal
ログイン・契約済み,Login: Contracted
メイン1,Main 1
メイン2,Main 2
メイン3,Main 3
メイン4,Main 4
メイン5,Main 5
メイン6,Main 6
メイン7,Main 7
メイン8,Main 8
プレゼント・通常,Gift: Normal
プレゼント・好み,Gift: Favorite
親密度アップ1,Bond Up 1
親密度アップ2,Bond Up 2
親密度アップ3,Bond Up 3
親密度アップ4,Bond Up 4
親密度アップ5,Bond Up 5
師弟契約,Mentorship Contract
王手,Check
持ち駒使用時,Using a Piece in Hand
詰み,Mate
敗北時,On Defeat
引き分け,Draw
時間切れ,Time Out
終盤,Endgame
駒成り時,On Promotion
劣勢,Disadvantage
勝勢,Winning Position
敗勢,Losing Position
大駒使用時,Using a Major Piece
無償棋晶石,Free Kisho Crystals
淡い蒼に虹色の光を宿した結晶。さまざまな願いを呼び込む。,A pale blue crystal holding rainbow light. It draws in many kinds of wishes.
有償棋晶石,Paid Kisho Crystals
金貨,Gold Coins
紋章が刻まれた金貨。市場で広く流通している。,A gold coin stamped with a crest. Widely used in the market.
想いの石,Bond Stone
棋士との縁が形を成した石。やわらかな桜色に輝く。,A stone formed from your bond with a player. It shines with a soft cherry color.
装飾品の石,Accessory Stone
若葉の紋が浮かぶ石。みずみずしい緑色に輝く。,A stone marked with a young leaf crest. It shines fresh green.
贈り物の石,Gift Stone
贈り物に宿る想いが凝縮された小さな石。,A small stone condensed from the feelings held in a gift.
若葉の宝袋,Young Leaf Treasure Bag
若葉色の宝袋。普通の贈り物をランダムに１個入手する。,A young-leaf-colored treasure bag. Grants one random normal gift.
蒼月の宝袋,Blue Moon Treasure Bag
藍色の宝袋。上質な贈り物をランダムに１個入手する。,An indigo treasure bag. Grants one random fine gift.
紅葉の宝袋,Autumn Leaf Treasure Bag
紅葉の宝袋。高級な贈り物をランダムに１個入手する。,An autumn-leaf treasure bag. Grants one random luxury gift.
名前変更券,Name Change Ticket
新しい名前で心機一転。次の一歩を踏み出そう。,Start fresh with a new name and take your next step.
解析の鍵 1日券,Analysis Key: 1 Day
棋譜の真実を映し出す不思議な鍵。盤上に隠れた一手を照らす。,A mysterious key that reveals the truth of a game record and illuminates the hidden move on the board.
解析の鍵 30日券,Analysis Key: 30 Days
棋桜覚醒券,Kio Awakening Ticket
対局中に棋桜覚醒を発動できる。盤上が光に包まれ、迷いを打ち払う。,Allows Kio Awakening during a match. Light fills the board and clears away hesitation.
幸運の勾玉 30日券,Lucky Magatama: 30 Days
幸運を呼ぶ瑠璃色の勾玉。持つ者に日々の恵みをもたらす。,A lapis-colored magatama that calls good fortune and brings daily blessings to its holder.
縁結び券,Bond Draw Ticket
新たな出会いの予感。通常縁結びで使用できる。,A sign of a new meeting. Usable for normal Bond Draws.
イベント縁結び券,Event Bond Draw Ticket
特別な出会いの予感。イベント縁結びで使用できる。,A sign of a special meeting. Usable for event Bond Draws.
陽の紋が刻まれた珠。棋士と師弟契約を結ぶ際に必要。,An orb engraved with a sun crest. Required to form a mentorship contract with a player.
心の紋が刻まれた珠。棋士と師弟契約を結ぶ際に必要。,An orb engraved with a heart crest. Required to form a mentorship contract with a player.
花の紋が刻まれた珠。棋士と師弟契約を結ぶ際に必要。,An orb engraved with a flower crest. Required to form a mentorship contract with a player.
月の紋が刻まれた珠。棋士と師弟契約を結ぶ際に必要。,An orb engraved with a moon crest. Required to form a mentorship contract with a player.
波の紋が刻まれた珠。棋士と師弟契約を結ぶ際に必要。,An orb engraved with a wave crest. Required to form a mentorship contract with a player.
書物の紋が刻まれた珠。棋士と師弟契約を結ぶ際に必要。,An orb engraved with a book crest. Required to form a mentorship contract with a player.
炎の紋が刻まれた珠。棋士と師弟契約を結ぶ際に必要。,An orb engraved with a flame crest. Required to form a mentorship contract with a player.
双葉の紋が刻まれた珠。棋士と師弟契約を結ぶ際に必要。,An orb engraved with a sprout crest. Required to form a mentorship contract with a player.
シンプル扇子,Simple Fan
飾り気のない白扇。棋士にあげると親密度が200上昇。『扇子』が好きな棋士にあげるとさらに増加。,A plain white fan. Give it to a player to raise Bond by 200. Grants more if they like fans.
ビー玉,Glass Marble
光にかざすと小さな宇宙が見える。棋士にあげると親密度が200上昇。『宝石』が好きな棋士にあげるとさらに増加。,Hold it to the light and a tiny universe appears. Give it to a player to raise Bond by 200. Grants more if they like gems.
プリン,Pudding
なめらかな口当たりとほろ苦いカラメル。棋士にあげると親密度が200上昇。『スイーツ』が好きな棋士にあげるとさらに増加。,Smooth pudding with bittersweet caramel. Give it to a player to raise Bond by 200. Grants more if they like sweets.
植木鉢,Potted Plant
小さな芽が顔を出している。棋士にあげると親密度が200上昇。『盆栽』が好きな棋士にあげるとさらに増加。,A tiny sprout is peeking out. Give it to a player to raise Bond by 200. Grants more if they like bonsai.
煎餅,Senbei
醤油の香ばしさがたまらない。棋士にあげると親密度が200上昇。『煎餅』が好きな棋士にあげるとさらに増加。,Irresistibly fragrant soy sauce senbei. Give it to a player to raise Bond by 200. Grants more if they like senbei.
団子,Dango
三色揃って初めて完成する日本の定番おやつ。棋士にあげると親密度が200上昇。『和菓子』が好きな棋士にあげるとさらに増加。,A classic Japanese snack complete only with all three colors. Give it to a player to raise Bond by 200. Grants more if they like wagashi.
文庫本,Paperback Book
手軽に持ち歩ける一冊。棋士にあげると親密度が200上昇。『本』が好きな棋士にあげるとさらに増加。,A book easy to carry around. Give it to a player to raise Bond by 200. Grants more if they like books.
緑茶,Green Tea
湯気の立つ一杯。棋士にあげると親密度が200上昇。『酒』が好きな棋士にあげるとさらに増加。,A steaming cup. Give it to a player to raise Bond by 200. Grants more if they like drinks.
和柄の扇子,Japanese-Pattern Fan
"鮮やかな和柄が描かれた扇子。棋士にあげると親密度が1,000上昇。『扇子』が好きな棋士にあげるとさらに増加。","A fan painted with vivid Japanese patterns. Give it to a player to raise Bond by 1,000. Grants more if they like fans."
1粒のサファイア,Single Sapphire
"深い青に吸い込まれそうになる。棋士にあげると親密度が1,000上昇。『宝石』が好きな棋士にあげるとさらに増加。","Its deep blue seems to draw you in. Give it to a player to raise Bond by 1,000. Grants more if they like gems."
プリンアラモード,Pudding a la Mode
"フルーツとクリームで着飾ったプリン。棋士にあげると親密度が1,000上昇。『スイーツ』が好きな棋士にあげるとさらに増加。","Pudding dressed with fruit and cream. Give it to a player to raise Bond by 1,000. Grants more if they like sweets."
盆栽,Bonsai
"手のひらに収まる小さな自然。棋士にあげると親密度が1,000上昇。『盆栽』が好きな棋士にあげるとさらに増加。","A tiny piece of nature in your palm. Give it to a player to raise Bond by 1,000. Grants more if they like bonsai."
袋入り煎餅,Bag of Senbei
"何枚も入った贅沢なお徳用。棋士にあげると親密度が1,000上昇。『煎餅』が好きな棋士にあげるとさらに増加。","A generous value bag packed with senbei. Give it to a player to raise Bond by 1,000. Grants more if they like senbei."
桜の和菓子,Sakura Wagashi
"桜の花びらを練り込んだ上品な一品。棋士にあげると親密度が1,000上昇。『和菓子』が好きな棋士にあげるとさらに増加。","An elegant sweet kneaded with cherry blossom petals. Give it to a player to raise Bond by 1,000. Grants more if they like wagashi."
ハードカバーの本,Hardcover Book
"ずっしりと重みのある装丁。棋士にあげると親密度が1,000上昇。『本』が好きな棋士にあげるとさらに増加。","A weighty, handsomely bound book. Give it to a player to raise Bond by 1,000. Grants more if they like books."
酒,Sake
"芳醇な香りの日本酒。棋士にあげると親密度が1,000上昇。『酒』が好きな棋士にあげるとさらに増加。","Japanese sake with a rich aroma. Give it to a player to raise Bond by 1,000. Grants more if they like sake."
"金箔と螺鈿で彩られた最高級扇子。棋士にあげると親密度が5,000上昇。『扇子』が好きな棋士にあげるとさらに増加。","A finest-quality fan decorated with gold leaf and mother-of-pearl. Give it to a player to raise Bond by 5,000. Grants more if they like fans."
"深青の宝石をあしらった指輪。棋士にあげると親密度が5,000上昇。『宝石』が好きな棋士にあげるとさらに増加。","A ring set with a deep-blue jewel. Give it to a player to raise Bond by 5,000. Grants more if they like gems."
"まるごと一台の特注ケーキ。棋士にあげると親密度が5,000上昇。『スイーツ』が好きな棋士にあげるとさらに増加。","A whole custom-made cake. Give it to a player to raise Bond by 5,000. Grants more if they like sweets."
"満開の桜が咲き誇る盆栽。棋士にあげると親密度が5,000上昇。『盆栽』が好きな棋士にあげるとさらに増加。","A bonsai with cherry blossoms in full bloom. Give it to a player to raise Bond by 5,000. Grants more if they like bonsai."
"桐箱に丁重に収められた最高級品。棋士にあげると親密度が5,000上昇。『煎餅』が好きな棋士にあげるとさらに増加。","A premium item carefully packed in a paulownia box. Give it to a player to raise Bond by 5,000. Grants more if they like senbei."
"名店の味を詰め合わせた逸品。棋士にあげると親密度が5,000上昇。『和菓子』が好きな棋士にあげるとさらに増加。","A fine assortment from a famous shop. Give it to a player to raise Bond by 5,000. Grants more if they like wagashi."
"古びた革表紙に金文字が輝く。棋士にあげると親密度が5,000上昇。『本』が好きな棋士にあげるとさらに増加。","Gold letters shine on an aged leather cover. Give it to a player to raise Bond by 5,000. Grants more if they like books."
"蔵元秘蔵の大吟醸。棋士にあげると親密度が5,000上昇。『酒』が好きな棋士にあげるとさらに増加。","A brewery's treasured daiginjo. Give it to a player to raise Bond by 5,000. Grants more if they like sake."
棋晶石,Kisho Crystals
淡い青に虹色の光を宿した結晶。さまざまな願いを呼び込む。,A pale blue crystal holding rainbow light. It draws in many kinds of wishes.
紅の御守,Crimson Charm
縁結びのたびに授かる小さなお守り。集めると願いが届く。,A small charm granted with each Bond Draw. Gather them and your wish will reach its destination.
金の御守,Gold Charm
銀の御守,Silver Charm
アイコン「狼谷シロウ」,Icon: Kamitani Shiro
アイコン「七星みくり」,Icon: Nanahoshi Mikuri
アイコン「八雲瀧菜」,Icon: Yakumo Takina
アイコン「黒羽エレナ」,Icon: Kurobane Elena
アイコン「西園寺レイナ」,Icon: Saionji Reina
アイコン「宵月」,Icon: Yoizuki
アイコン「金城豪」,Icon: Kinjo Go
アイコン「高瀬紘一」,Icon: Takase Koichi
アイコン「猫宮さくら」,Icon: Nekomiya Sakura
金貨5000個,"5,000 Gold Coins"
金貨30000個,"30,000 Gold Coins"
金貨60000個,"60,000 Gold Coins"
金貨300000個,"300,000 Gold Coins"
金貨500000個,"500,000 Gold Coins"
金貨1000000個,"1,000,000 Gold Coins"
紫艶の駒,Violet Luster Pieces
錦秋の駒,Autumn Brocade Pieces
金煌の駒,Golden Gleam Pieces
紳叡の駒,Refined Wisdom Pieces
白狼の駒,White Wolf Pieces
月影の駒,Moonshadow Pieces
凛風の駒,Bracing Wind Pieces
黒蝶の駒,Black Butterfly Pieces
普通の駒,Standard Pieces
桜花の駒,Sakura Pieces
氷雪の駒,Ice-Snow Pieces
木紋の駒,Woodgrain Pieces
聖光の駒,Sacred Light Pieces
紫艶の盤面,Violet Luster Board
錦秋の盤面,Autumn Brocade Board
金煌の盤面,Golden Gleam Board
紳叡の盤面,Refined Wisdom Board
白狼の盤面,White Wolf Board
月影の盤面,Moonshadow Board
凛風の盤面,Bracing Wind Board
黒蝶の盤面,Black Butterfly Board
普通の盤面,Standard Board
桜花の盤面,Sakura Board
氷雪の盤面,Ice-Snow Board
木紋の盤面,Woodgrain Board
聖光の盤面,Sacred Light Board
通常BGM,Default BGM
飛翔-序章,Flight: Prelude
飛翔-本章,Flight: Main
飛翔-終章,Flight: Finale
黒蝶-本章,Black Butterfly: Main
黒蝶-終章,Black Butterfly: Finale
白狼-本章,White Wolf: Main
白狼-終章,White Wolf: Finale
デフォルト,Default
アイコン「氷室ユキ」,Icon: Himuro Yuki
アイコン「徳永利蔵」,Icon: Tokunaga Rizo
アイコン「ソフィア」,Icon: Sophia
アイコン「八雲龍菜」,Icon: Yakumo Takina
春風と共に微笑む、桜色の少女。宿舎で設定することでアイコンを変更できる。,A cherry-colored girl smiling with the spring breeze. Set it in Lodging to change your icon.
凛とした眼差しに、氷の静寂を宿す。宿舎で設定することでアイコンを変更できる。,A dignified gaze holding the silence of ice. Set it in Lodging to change your icon.
穏やかな表情の奥に、揺るがぬ風格が息づく。宿舎で設定することでアイコンを変更できる。,A steady dignity lives behind his gentle expression. Set it in Lodging to change your icon.
妖艶な笑みに、棘を秘める。宿舎で設定することでアイコンを変更できる。,A bewitching smile hiding thorns. Set it in Lodging to change your icon.
黒いレースと蝶を纏う少女。宿舎で設定することでアイコンを変更できる。,A girl adorned with black lace and butterflies. Set it in Lodging to change your icon.
青空を映したような澄んだ眼差し。宿舎で設定することでアイコンを変更できる。,Clear eyes like a reflection of the blue sky. Set it in Lodging to change your icon.
静かなる祈りを。宿舎で設定することでアイコンを変更できる。,A quiet prayer. Set it in Lodging to change your icon.
秋の山を彩る錦をその身に纏う。宿舎で設定することでアイコンを変更できる。,Clad in brocade colors of autumn mountains. Set it in Lodging to change your icon.
闇夜に浮かぶ月のような佇まい。宿舎で設定することでアイコンを変更できる。,A presence like the moon floating in the dark night. Set it in Lodging to change your icon.
白狼の眼差しに、雪原の冷気が宿る。宿舎で設定することでアイコンを変更できる。,The chill of a snowfield dwells in the white wolf's gaze. Set it in Lodging to change your icon.
金の輝きを纏う、堂々たる棋士。宿舎で設定することでアイコンを変更できる。,A dignified player wrapped in golden radiance. Set it in Lodging to change your icon.
眼鏡の奥に秘めたる叡智。宿舎で設定することでアイコンを変更できる。,Wisdom hidden behind his glasses. Set it in Lodging to change your icon.
装いを変える前の、まっさらな縁取り。宿舎で設定することでアイコンフレームを変更できる。,A clean border before any decoration. Set it in Lodging to change your icon frame.
使い慣れた木目の盤面。宿舎で設定することで将棋盤を変更できる。,A familiar woodgrain board. Set it in Lodging to change your board.
満開の桜が描かれた盤面。宿舎で設定することで将棋盤を変更できる。,A board painted with cherry blossoms in full bloom. Set it in Lodging to change your board.
霜の結晶が広がる盤面。宿舎で設定することで将棋盤を変更できる。,A board covered in frost crystals. Set it in Lodging to change your board.
使い込まれた古木の盤面。宿舎で設定することで将棋盤を変更できる。,A board of well-worn old wood. Set it in Lodging to change your board.
紫の靄が漂うような盤面。宿舎で設定することで将棋盤を変更できる。,A board drifting with purple haze. Set it in Lodging to change your board.
秋の山道が広がる盤面。宿舎で設定することで将棋盤を変更できる。,A board showing an autumn mountain path. Set it in Lodging to change your board.
眩い金の光が走る盤面。宿舎で設定することで将棋盤を変更できる。,A board streaked with dazzling golden light. Set it in Lodging to change your board.
知性を感じるグレーの盤面。宿舎で設定することで将棋盤を変更できる。,An intelligent-looking gray board. Set it in Lodging to change your board.
一面の雪景色が広がる盤面。宿舎で設定することで将棋盤を変更できる。,A board spread with a snowy landscape. Set it in Lodging to change your board.
柔らかな光に包まれた盤面。宿舎で設定することで将棋盤を変更できる。,A board wrapped in gentle light. Set it in Lodging to change your board.
月明かりだけが照らす盤面。宿舎で設定することで将棋盤を変更できる。,A board lit only by moonlight. Set it in Lodging to change your board.
心地の良い風を感じる盤面。宿舎で設定することで将棋盤を変更できる。,A board that carries a pleasant breeze. Set it in Lodging to change your board.
ゴシックレースと蝶が舞う盤面。宿舎で設定することで将棋盤を変更できる。,A board where gothic lace and butterflies dance. Set it in Lodging to change your board.
盤上の物語に花を添える定番の調べ。宿舎で設定することでBGMを変更できる。,A classic melody that colors the story on the board. Set it in Lodging to change your BGM.
翼を広げる前の静かなひととき。宿舎で設定することでBGMを変更できる。,A quiet moment before spreading your wings. Set it in Lodging to change your BGM.
翼に確かな鼓動が宿り始める。宿舎で設定することでBGMを変更できる。,A steady pulse begins to fill your wings. Set it in Lodging to change your BGM.
解き放たれ、大空を駆けていく。宿舎で設定することでBGMを変更できる。,"Released, racing across the open sky. Set it in Lodging to change your BGM."
雪原に研ぎ澄まされる、孤高の闘志。宿舎で設定することでBGMを変更できる。,A solitary fighting spirit sharpened on the snowfield. Set it in Lodging to change your BGM.
月夜を駆け抜ける、白銀の咆哮。宿舎で設定することでBGMを変更できる。,A silver howl racing through the moonlit night. Set it in Lodging to change your BGM.
漆黒の羽が音もなく広がる。宿舎で設定することでBGMを変更できる。,Jet-black wings spread without a sound. Set it in Lodging to change your BGM.
夜空を妖しく舞う、黒き蝶の華。宿舎で設定することでBGMを変更できる。,A black butterfly's flower dances eerily in the night sky. Set it in Lodging to change your BGM.
何の変哲もない木の駒。宿舎で設定することで駒を変更できる。,Plain wooden pieces. Set them in Lodging to change your pieces.
薄紅の桜が一面に咲き誇る駒。宿舎で設定することで駒を変更できる。,Pieces covered in pale pink cherry blossoms. Set them in Lodging to change your pieces.
透き通る氷のような青白い駒。宿舎で設定することで駒を変更できる。,Pale blue pieces like clear ice. Set them in Lodging to change your pieces.
年輪を重ねた古木に紋が浮かぶ駒。宿舎で設定することで駒を変更できる。,Pieces with patterns rising from aged wood grain. Set them in Lodging to change your pieces.
妖しい紫の光を湛えた駒。宿舎で設定することで駒を変更できる。,Pieces filled with mysterious violet light. Set them in Lodging to change your pieces.
秋の山が纏う錦をそのまま閉じ込めた駒。宿舎で設定することで駒を変更できる。,Pieces holding the brocade colors of autumn mountains. Set them in Lodging to change your pieces.
金の煌めきが贅沢に施された駒。宿舎で設定することで駒を変更できる。,Pieces lavishly decorated with golden sparkle. Set them in Lodging to change your pieces.
眼鏡とネクタイの意匠が刻まれた駒。宿舎で設定することで駒を変更できる。,Pieces engraved with glasses and necktie motifs. Set them in Lodging to change your pieces.
白狼の紋様が刻まれた駒。宿舎で設定することで駒を変更できる。,Pieces engraved with a white wolf emblem. Set them in Lodging to change your pieces.
清らかな祈りの光を宿した駒。宿舎で設定することで駒を変更できる。,Pieces holding the light of a pure prayer. Set them in Lodging to change your pieces.
闇夜に浮かぶ月の光を纏った駒。宿舎で設定することで駒を変更できる。,Pieces wrapped in moonlight floating in the dark night. Set them in Lodging to change your pieces.
清々しい風を纏った駒。宿舎で設定することで駒を変更できる。,Pieces wrapped in a refreshing breeze. Set them in Lodging to change your pieces.
黒いレースと蝶の意匠で飾られた駒。宿舎で設定することで駒を変更できる。,Pieces decorated with black lace and butterfly designs. Set them in Lodging to change your pieces.
"自分の対局を将棋AIが詳しく分析してくれる、30日間有効のパスです。
「あの一手は本当に最善だった？」を、棋譜から振り返ることができます。

【価格】
・650円（税込）

【獲得奉納ポイント】
・37pt

【有効期間】
・購入日から30日間

【解放される機能】
・評価値グラフ：一手ごとの形勢を折れ線グラフで可視化
・推奨手順：AIが選ぶ最善手と、その後の進行を表示
・指し手評価：自分の指した手の良し悪しをマーク表示（好手・悪手・疑問手 等）

【追加購入について】
・有効期間中でも追加購入が可能です
・1回の購入で有効期間が30日加算されます
・追加購入は最大1年分まで可能です

※棋譜再生・手順リスト・KIFコピー・盤面画像共有は、パスがなくても利用できます。
※棋譜再生画面の「解析を利用する」ボタンからも購入できます。","A 30-day pass that lets shogi AI analyze your games in detail.
Review your game record and ask, ""Was that move really best?""

[Price]
650 yen (tax included)

[Prayer Points Earned]
37 pt

[Valid Period]
30 days from purchase

[Unlocked Features]
Evaluation Graph: visualizes the position after each move as a line graph
Recommended Lines: shows the AI's best move and the continuation
Move Evaluation: marks the quality of your moves, such as good moves, bad moves, and questionable moves

[Additional Purchases]
You can purchase again while the pass is active
Each purchase adds 30 days
You can extend up to one year

Game record replay, move list, KIF copy, and board-image sharing are available without this pass.
You can also purchase it from the ""Use Analysis"" button on the game record replay screen."
